,week,count
0,2019-12-30/2020-01-05,531
1,2020-01-06/2020-01-12,948
2,2020-01-13/2020-01-19,785
3,2020-01-20/2020-01-26,769
4,2020-01-27/2020-02-02,961
5,2020-02-03/2020-02-09,1009
6,2020-02-10/2020-02-16,919
7,2020-02-17/2020-02-23,965
8,2020-02-24/2020-03-01,1084
9,2020-03-02/2020-03-08,1188
10,2020-03-09/2020-03-15,1264
11,2020-03-16/2020-03-22,1523
12,2020-03-23/2020-03-29,714
13,2020-03-30/2020-04-05,401
14,2020-04-06/2020-04-12,392
15,2020-04-13/2020-04-19,366
16,2020-04-20/2020-04-26,410
17,2020-04-27/2020-05-03,450
18,2020-05-04/2020-05-10,360
19,2020-05-11/2020-05-17,427
20,2020-05-18/2020-05-24,441
21,2020-05-25/2020-05-31,399
22,2020-06-01/2020-06-07,443
23,2020-06-08/2020-06-14,433
24,2020-06-15/2020-06-21,400
25,2020-06-22/2020-06-28,438
26,2020-06-29/2020-07-05,511
27,2020-07-06/2020-07-12,594
28,2020-07-13/2020-07-19,422
29,2020-07-20/2020-07-26,411
30,2020-07-27/2020-08-02,449
31,2020-08-03/2020-08-09,397
32,2020-08-10/2020-08-16,347
33,2020-08-17/2020-08-23,451
34,2020-08-24/2020-08-30,390
35,2020-08-31/2020-09-06,326
36,2020-09-07/2020-09-13,408
37,2020-09-14/2020-09-20,351
38,2020-09-21/2020-09-27,367
39,2020-09-28/2020-10-04,389
40,2020-10-05/2020-10-11,320
41,2020-10-12/2020-10-18,301
42,2020-10-19/2020-10-25,350
43,2020-10-26/2020-11-01,273
44,2020-11-02/2020-11-08,292
45,2020-11-09/2020-11-15,315
46,2020-11-16/2020-11-22,387
47,2020-11-23/2020-11-29,320
48,2020-11-30/2020-12-06,468
49,2020-12-07/2020-12-13,684
50,2020-12-14/2020-12-20,557
51,2020-12-21/2020-12-27,614
52,2020-12-28/2021-01-03,653
53,2021-01-04/2021-01-10,940
54,2021-01-11/2021-01-17,752
55,2021-01-18/2021-01-24,766
56,2021-01-25/2021-01-31,641
57,2021-02-01/2021-02-07,400
58,2021-02-08/2021-02-14,807
59,2021-02-15/2021-02-21,806
60,2021-02-22/2021-02-28,1456
61,2021-03-01/2021-03-07,1648
62,2021-03-08/2021-03-14,1490
63,2021-03-15/2021-03-21,1339
64,2021-03-22/2021-03-28,1319
65,2021-03-29/2021-04-04,1446
66,2021-04-05/2021-04-11,1370
67,2021-04-12/2021-04-18,1539
68,2021-04-19/2021-04-25,1454
69,2021-04-26/2021-05-02,1032
70,2021-05-03/2021-05-09,856
71,2021-05-10/2021-05-16,949
72,2021-05-17/2021-05-23,768
73,2021-05-24/2021-05-30,614
74,2021-05-31/2021-06-06,757
75,2021-06-07/2021-06-13,833
76,2021-06-14/2021-06-20,841
77,2021-06-21/2021-06-27,989
78,2021-06-28/2021-07-04,953
79,2021-07-05/2021-07-11,774
80,2021-07-12/2021-07-18,661
81,2021-07-19/2021-07-25,679
82,2021-07-26/2021-08-01,514
83,2021-08-02/2021-08-08,476
84,2021-08-09/2021-08-15,535
85,2021-08-16/2021-08-22,492
86,2021-08-23/2021-08-29,595
87,2021-08-30/2021-09-05,525
88,2021-09-06/2021-09-12,563
89,2021-09-13/2021-09-19,688
90,2021-09-20/2021-09-26,645
