,week,count
0,2009-12-28/2010-01-03,20
1,2010-01-04/2010-01-10,658
2,2010-01-11/2010-01-17,776
3,2010-01-18/2010-01-24,438
4,2010-01-25/2010-01-31,980
5,2010-02-01/2010-02-07,773
6,2010-02-08/2010-02-14,418
7,2010-02-15/2010-02-21,575
8,2010-02-22/2010-02-28,583
9,2010-03-01/2010-03-07,1669
10,2010-03-08/2010-03-14,1500
11,2010-03-15/2010-03-21,1764
12,2010-03-22/2010-03-28,1901
13,2010-03-29/2010-04-04,934
14,2010-04-05/2010-04-11,937
15,2010-04-12/2010-04-18,891
16,2010-04-19/2010-04-25,390
17,2010-04-26/2010-05-02,780
18,2010-05-03/2010-05-09,375
19,2010-05-10/2010-05-16,413
20,2010-05-17/2010-05-23,617
21,2010-05-24/2010-05-30,552
22,2010-05-31/2010-06-06,517
23,2010-06-07/2010-06-13,693
24,2010-06-14/2010-06-20,841
25,2010-06-21/2010-06-27,575
26,2010-06-28/2010-07-04,555
27,2010-07-05/2010-07-11,217
28,2010-07-12/2010-07-18,239
29,2010-07-19/2010-07-25,362
30,2010-07-26/2010-08-01,299
31,2010-08-02/2010-08-08,259
32,2010-08-09/2010-08-15,241
33,2010-08-16/2010-08-22,248
34,2010-08-23/2010-08-29,332
35,2010-08-30/2010-09-05,335
36,2010-09-06/2010-09-12,172
37,2010-09-13/2010-09-19,382
38,2010-09-20/2010-09-26,396
39,2010-09-27/2010-10-03,577
40,2010-10-04/2010-10-10,264
41,2010-10-11/2010-10-17,250
42,2010-10-18/2010-10-24,278
43,2010-10-25/2010-10-31,279
44,2010-11-01/2010-11-07,376
45,2010-11-08/2010-11-14,278
46,2010-11-15/2010-11-21,361
47,2010-11-22/2010-11-28,292
48,2010-11-29/2010-12-05,403
49,2010-12-06/2010-12-12,307
50,2010-12-13/2010-12-19,481
51,2010-12-20/2010-12-26,414
52,2010-12-27/2011-01-02,1
53,2011-01-03/2011-01-09,823
54,2011-01-10/2011-01-16,513
55,2011-01-17/2011-01-23,423
56,2011-01-24/2011-01-30,249
57,2011-01-31/2011-02-06,543
58,2011-02-07/2011-02-13,1207
59,2011-02-14/2011-02-20,1415
60,2011-02-21/2011-02-27,1004
61,2011-02-28/2011-03-06,1450
62,2011-03-07/2011-03-13,1265
63,2011-03-14/2011-03-20,1201
64,2011-03-21/2011-03-27,1277
65,2011-03-28/2011-04-03,882
66,2011-04-04/2011-04-10,797
67,2011-04-11/2011-04-17,476
68,2011-04-18/2011-04-24,479
69,2011-04-25/2011-05-01,985
70,2011-05-02/2011-05-08,437
71,2011-05-09/2011-05-15,543
72,2011-05-16/2011-05-22,869
73,2011-05-23/2011-05-29,347
74,2011-05-30/2011-06-05,338
75,2011-06-06/2011-06-12,523
76,2011-06-13/2011-06-19,905
77,2011-06-20/2011-06-26,1368
78,2011-06-27/2011-07-03,997
79,2011-07-04/2011-07-10,257
80,2011-07-11/2011-07-17,358
81,2011-07-18/2011-07-24,339
82,2011-07-25/2011-07-31,242
83,2011-08-01/2011-08-07,322
84,2011-08-08/2011-08-14,355
85,2011-08-15/2011-08-21,248
86,2011-08-22/2011-08-28,235
87,2011-08-29/2011-09-04,382
88,2011-09-05/2011-09-11,425
89,2011-09-12/2011-09-18,228
90,2011-09-19/2011-09-25,347
91,2011-09-26/2011-10-02,473
92,2011-10-03/2011-10-09,329
93,2011-10-10/2011-10-16,273
94,2011-10-17/2011-10-23,375
95,2011-10-24/2011-10-30,374
96,2011-10-31/2011-11-06,255
97,2011-11-07/2011-11-13,168
98,2011-11-14/2011-11-20,272
99,2011-11-21/2011-11-27,316
100,2011-11-28/2011-12-04,253
101,2011-12-05/2011-12-11,348
102,2011-12-12/2011-12-18,432
103,2011-12-19/2011-12-25,308
104,2011-12-26/2012-01-01,352
105,2012-01-02/2012-01-08,421
106,2012-01-09/2012-01-15,527
107,2012-01-16/2012-01-22,319
108,2012-01-23/2012-01-29,563
109,2012-01-30/2012-02-05,541
110,2012-02-06/2012-02-12,485
111,2012-02-13/2012-02-19,329
112,2012-02-20/2012-02-26,385
113,2012-02-27/2012-03-04,374
114,2012-03-05/2012-03-11,645
115,2012-03-12/2012-03-18,478
116,2012-03-19/2012-03-25,552
117,2012-03-26/2012-04-01,433
118,2012-04-02/2012-04-08,355
119,2012-04-09/2012-04-15,343
120,2012-04-16/2012-04-22,287
121,2012-04-23/2012-04-29,376
122,2012-04-30/2012-05-06,340
123,2012-05-07/2012-05-13,398
124,2012-05-14/2012-05-20,427
125,2012-05-21/2012-05-27,344
126,2012-05-28/2012-06-03,240
127,2012-06-04/2012-06-10,313
128,2012-06-11/2012-06-17,456
129,2012-06-18/2012-06-24,427
130,2012-06-25/2012-07-01,401
131,2012-07-02/2012-07-08,224
132,2012-07-09/2012-07-15,293
133,2012-07-16/2012-07-22,306
134,2012-07-23/2012-07-29,230
135,2012-07-30/2012-08-05,301
136,2012-08-06/2012-08-12,296
137,2012-08-13/2012-08-19,273
138,2012-08-20/2012-08-26,230
139,2012-08-27/2012-09-02,288
140,2012-09-03/2012-09-09,316
141,2012-09-10/2012-09-16,305
